fighter_name,birth_date
Alexander Volkanovski,1988-09-29
Amanda Nunes,1988-05-30
Anderson Silva,1975-04-14
Anthony Johnson,1984-06-03
Anthony Pettis,1987-01-27
Benson Henderson,1983-11-16
Brock Lesnar,1977-12-07
B.J. Penn,1978-12-13
Cain Velasquez,1982-07-28
Carla Esparza,1987-10-10
Charles Oliveira,1989-10-17
Chris Weidman,1984-06-17
Cody Garbrandt,1991-07-07
Conor McGregor,1988-07-14
Daniel Cormier,1979-03-20
Deiveson Figueiredo,1987-12-18
Demetrious Johnson,1986-08-13
Dominick Cruz,1985-03-09
Dominick Reyes,1989-12-26
Eddie Alvarez,1984-11-01
Fabricio Werdum,1977-07-30
Frankie Edgar,1981-10-16
Henry Cejudo,1987-09-02
Holly Holm,1981-10-17
Israel Adesanya,1989-07-22
Jan Blachowicz,1983-02-24
Jessica Andrade,1991-09-25
Joanna Jedrzejczyk,1987-08-18
Johny Hendricks,1983-12-09
Jon Jones,1987-07-19
Jose Aldo,1986-09-09
Joseph Benavidez,1984-07-31
Kamaru Usman,1987-11-05
Kelvin Gastelum,1991-10-24
Khabib Nurmagomedov,1988-09-20
Luke Rockhold,1984-10-17
Matt Hughes,1973-10-13
Matt Serra,1974-06-02
Mauricio Rua,1981-11-25
Max Holloway,1991-04-12
Michael Bisping,1979-02-28
Miesha Tate,1986-08-18
Petr Yan,1993-11-02
Renan Barao,1987-01-31
Robbie Lawler,1982-03-20
Robert Whittaker,1990-12-20
Ronda Rousey,1987-01-02
Rose Namajunas,1992-06-29
Stipe Miocic,1982-08-19
Tyron Woodley,1982-04-17
Valentina Shevchenko,1988-07-03
Weili Zhang,1989-08-13
